Well_ID,Point_ID,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,MeasurementDate,WaterElevation,Max_NS,SaturatedThickness
236402,223,-102.592778,36.428889,Dallam,12,6,2007,12/6/07,4074.78,3830,244.7800000000002
236402,223,-102.592778,36.428889,Dallam,12,10,2008,12/10/08,4073.05,3830,243.05000000000018
236501,98,-102.553056,36.454445,Dallam,12,6,1995,12/6/95,4039.6,3820,219.5999999999999
236501,98,-102.553056,36.454445,Dallam,12,11,1996,12/11/96,4037.45,3820,217.44999999999982
236501,98,-102.553056,36.454445,Dallam,12,10,1997,12/10/97,4039.6,3820,219.5999999999999
236501,98,-102.553056,36.454445,Dallam,12,9,1998,12/9/98,4034.92,3820,214.92000000000007
236501,98,-102.553056,36.454445,Dallam,12,9,1999,12/9/99,4033.24,3820,213.23999999999978
236501,98,-102.553056,36.454445,Dallam,12,7,2000,12/7/00,4032.8,3820,212.80000000000018
236501,98,-102.553056,36.454445,Dallam,12,13,2001,12/13/01,4032.5,3820,212.5
236501,98,-102.553056,36.454445,Dallam,12,11,2003,12/11/03,4027.1,3820,207.0999999999999
236501,98,-102.553056,36.454445,Dallam,12,13,2004,12/13/04,4027.4,3820,207.4000000000001
236501,98,-102.553056,36.454445,Dallam,11,4,2005,11/4/05,4024.3,3820,204.30000000000018
236501,98,-102.553056,36.454445,Dallam,12,2,2006,12/2/06,4028.85,3820,208.8499999999999
236501,98,-102.553056,36.454445,Dallam,12,6,2007,12/6/07,4023.07,3820,203.07000000000016
236501,98,-102.553056,36.454445,Dallam,12,10,2008,12/10/08,4019.81,3820,199.80999999999995
236501,98,-102.553056,36.454445,Dallam,11,4,2009,11/4/09,4014.8,3820,194.80000000000018
236501,98,-102.553056,36.454445,Dallam,12,14,2010,12/14/10,4016.17,3820,196.17000000000007
236501,98,-102.553056,36.454445,Dallam,12,6,2011,12/6/11,4009.67,3820,189.67000000000007
236501,98,-102.553056,36.454445,Dallam,12,6,2012,12/6/12,4004.95,3820,184.94999999999982
236802,426,-102.562778,36.396389,Dallam,7,20,1999,7/20/99,4032,3820,212.0
236902,554,-102.5275,36.381944,Dallam,3,8,1995,3/8/95,3852.14,3820,32.13999999999987
236902,554,-102.5275,36.381944,Dallam,3,15,1996,3/15/96,3852.1,3820,32.09999999999991
236903,315,-102.540278,36.411112,Dallam,12,2,2010,12/2/10,4007.25,3830,177.25
236903,315,-102.540278,36.411112,Dallam,1,9,2012,1/9/12,4005,3830,175.0
236903,315,-102.540278,36.411112,Dallam,1,3,2013,1/3/13,4002,3830,172.0
236903,315,-102.540278,36.411112,Dallam,1,3,2014,1/3/14,3999.5,3830,169.5
236903,315,-102.540278,36.411112,Dallam,1,20,2015,1/20/15,3998.61,3830,168.61000000000013
236903,315,-102.540278,36.411112,Dallam,1,18,2016,1/18/16,4006.59,3830,176.59000000000015
237601,161,-102.376944,36.457501,Dallam,12,6,1995,12/6/95,3784.6,3720,64.59999999999991
237601,161,-102.376944,36.457501,Dallam,12,10,1996,12/10/96,3782.55,3720,62.55000000000018
237601,161,-102.376944,36.457501,Dallam,12,10,1997,12/10/97,3784.26,3720,64.26000000000022
237601,161,-102.376944,36.457501,Dallam,12,9,1998,12/9/98,3784.64,3720,64.63999999999987
237601,161,-102.376944,36.457501,Dallam,12,7,2000,12/7/00,3784.6,3720,64.59999999999991
237601,161,-102.376944,36.457501,Dallam,12,13,2001,12/13/01,3780.2,3720,60.19999999999982
237601,161,-102.376944,36.457501,Dallam,12,14,2002,12/14/02,3778.02,3720,58.01999999999998
237601,161,-102.376944,36.457501,Dallam,12,11,2003,12/11/03,3780.52,3720,60.51999999999998
237601,161,-102.376944,36.457501,Dallam,12,13,2004,12/13/04,3781.5,3720,61.5
237601,161,-102.376944,36.457501,Dallam,11,4,2005,11/4/05,3778.48,3720,58.48000000000002
237601,161,-102.376944,36.457501,Dallam,12,2,2006,12/2/06,3782.7,3720,62.69999999999982
237601,161,-102.376944,36.457501,Dallam,12,7,2007,12/7/07,3781.25,3720,61.25
237601,161,-102.376944,36.457501,Dallam,12,14,2010,12/14/10,3776.15,3720,56.15000000000009
237601,161,-102.376944,36.457501,Dallam,12,7,2011,12/7/11,3755.8,3720,35.80000000000018
237601,161,-102.376944,36.457501,Dallam,12,5,2012,12/5/12,3778.17,3720,58.17000000000007
237602,232,-102.391389,36.428333,Dallam,5,11,2000,5/11/00,3724.5,3710,14.5
237701,429,-102.483611,36.400834,Dallam,3,8,1995,3/8/95,3828.15,3730,98.15000000000009
237701,429,-102.483611,36.400834,Dallam,3,15,1996,3/15/96,3829.1,3730,99.09999999999991
237701,429,-102.483611,36.400834,Dallam,3,3,1998,3/3/98,3828.16,3730,98.15999999999985
237701,429,-102.483611,36.400834,Dallam,2,10,2000,2/10/00,3825.37,3730,95.36999999999989
